timestamp,mac,rssi,name,advertisement,lat,lon,accuracy
20151103 13:39:41,00:17:E9:D1:78:59,-77,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:41,00:17:E9:D1:78:59,-71,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:41,00:17:E9:D1:78:59,-77,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:41,00:17:E9:D1:78:59,-77,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:41,00:17:E9:D1:78:59,-74,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:41,00:17:E9:D1:78:59,-77,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:46,00:17:E9:D1:78:59,-84,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:46,00:17:E9:D1:78:59,-81,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:46,00:17:E9:D1:78:59,-73,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
20151103 13:39:46,00:17:E9:D1:78:59,-86,XXRBJ151000300,020102020a0c05121800280003030a180e08585852424a313531303030333003030a180f09585852424a3135313030303330300000000000000000000000,45.5247239,-122.6755351,93.7070007324
